L-a	la	the-\textsc{f}.\textsc{sg}	The
théorie	teɔʁi	theory	theory
des	de	{of{\textunderscore}the[\textsc{m}.\textsc{pl}]}	of
hasard-s	azaʁ	chance-\textsc{pl}	probability
consist-e	{k\~{ɔ}sist\liaison}	consist-3\textsc{sg}.\textsc{pres}	involves
à	a	to	
réduire	ʁedɥiʁ	{reduce[\textsc{inf}]}	reducing
tous	tu	all	all

l-es	{lez\liaison}	the-\textsc{m}.\textsc{pl}	the
événement-s	evɛnm\~{ɑ}	event-\textsc{pl}	events
du	dy	{of{\textunderscore}the[\textsc{m}.\textsc{sg}]}	of the
même	mɛm	same	same
genre	{ʒ\~{ɑ}ʁ\liaison}	kind	kind
à	a	to	to
un	\~{œ}	a	a
certain	sɛʁt\~{ɛ}	certain	certain
nombre	n\~{ɔ}bʁ	number	number

de	də	of	of
cas	kɑ	{case[\textsc{pl}]}	equally
également	eɡalm\~{ɑ}	equally	possible
possible-s	pɔsibl	possible-\textsc{pl}	cases,
c'-est-à-dire	sɛtadiʁ	that-is-to-say	that is,
tel-s	tɛl	such-\textsc{pl}	such
que	kə	that	that
nous	nu	we	we

soyons	swaj\~{ɔ}	{be[1\textsc{pl}.\textsc{pres}.\textsc{subj}]}	are
également	egalm\~{ɑ}	equally	equally
indécis	\~{ɛ}desi	{uncertain[\textsc{m}.\textsc{pl}]}	uncertain
sur	syʁ	on	about
leur	{lœʁ\liaison}	their	their
existence,	ɛgzist\~{ɑ}s	existence	occurrence,
et	e	and	and

à	a	to	
déterminer	detɛʁmine	{determine[\textsc{inf}]}	determining
l-e	lə	the-\textsc{m}.\textsc{sg}	the
nombre	n\~{ɔ}bʁ	number	number
de	də	of	of
cas	kɑ	{case[\textsc{pl}]}	cases
favorable-s	{favɔʁabl\liaison}	favorable-\textsc{pl}	favorable
à	a	to	to
l'	{l{\liaison}}	{the[\textsc{m}.\textsc{sg}]}	the

événement	evɛnm\~{ɑ}	event	event
dont	d\~{ɔ}	of{\textunderscore}which	whose probability
on	\~{ɔ}	{people\textsubscript{3\textsc{sg}}}	we
cherch-e	ʃɛʁʃə	seek-3\textsc{sg}.\textsc{pres}	seek.
l-a	la	{the-\textsc{f}.\textsc{sg}}	
probabilité.	prɔbabilite	probability.	

L-e	lə	the-\textsc{m}.\textsc{sg}	The
rapport	ʁapɔʁ	ratio	ratio
de	də	of	of
ce	sə	{this[\textsc{m}.\textsc{sg}]}	this
nombre	{n\~{ɔ}bʁ{\liaison}}	number	number
à	a	to	to
celui	səlɥi	{that[\textsc{m}.\textsc{sg}]}	that
de	də	of	of
tous	tu	all	all
l-es	le	{the-\textsc{m}.\textsc{pl}}	possible
cas	kɑ	{case[\textsc{pl}]}	cases

possible-s	{pɔsibl{\liaison}}	possible-\textsc{m}.\textsc{pl}	
est	ɛ	{be[3\textsc{sg}.\textsc{pres}]}	is
l-a	la	the-\textsc{f}.\textsc{sg}	the
mesure	məzyʁ	measure	measure
de	də	of	of
cette	sɛt	{this[\textsc{f}.\textsc{sg}]}	this
probabilité,	pʁɔbabilite	probability	probability,
qui	ki	which	which

n'	n	\textsc{neg}	is
est	{ɛt{\liaison}}	{be[3\textsc{sg}.\textsc{pres}]}	thus
ainsi	\~{ɛ}si	thus	only
qu'	{k{\liaison}}	only	
une	yn	one	a
fraction	fʁaksj\~{ɔ}	fraction	fraction
dont	d\~{ɔ}	whose	whose
l-e	lə	the-\textsc{m}.\textsc{sg}	
numérateur	{nymeʁatœʁ\liaison}	numerator	numerator

est	ɛ	{be[3\textsc{sg}.\textsc{pres}]}	is
l-e	lə	the-\textsc{m}.\textsc{sg}	the
nombre	n\~{ɔ}bʁ	number	number
des	de	{of{\textunderscore}the[\textsc{m}.\textsc{pl}]}	of
cas	kɑ	{case[\textsc{pl}]}	favorable
favorable-s,	favɔʁabl	favorable-\textsc{pl}	cases
et	e	and	, and
dont	d\~{ɔ}	whose	whose

l-e	lə	the-\textsc{m}.\textsc{sg}	
dénominateur	{denɔminatœʁ\liaison}	denominator	denominator
est	ɛ	{be[3\textsc{sg}.\textsc{pres}]}	is
l-e	lə	the-\textsc{m}.\textsc{sg}	the
nombre	n\~{ɔ}bʁ	number	number
de	də	of	of
tous	tu	all	all
l-es	le	the-\textsc{m}.\textsc{sg}	

cas	kɑ	case[\textsc{pl}]	possible
possible-s.	pɔsibl	possible-\textsc{pl}	cases.

